STUDY_ID	SAMPLE_ID	EGFR
gbm_tcga_pub2013	TCGA-28-2513-01	46987.12
gbm_tcga_pub2013	TCGA-28-2514-01	164814.7
gbm_tcga_pub2013	TCGA-28-5204-01	37768.72
gbm_tcga_pub2013	TCGA-28-5207-01	16149.69
gbm_tcga_pub2013	TCGA-28-5208-01	10937.83
gbm_tcga_pub2013	TCGA-28-5209-01	172809.65
gbm_tcga_pub2013	TCGA-28-5211-01	NA
gbm_tcga_pub2013	TCGA-28-5213-01	690.98
gbm_tcga_pub2013	TCGA-28-5214-01	NA
gbm_tcga_pub2013	TCGA-28-5215-01	2312.9
gbm_tcga_pub2013	TCGA-28-5216-01	549.99
