,0
1500,MCM6
1501,BRD9
1502,BNC2
1503,NECTIN3
1504,UBN2
1505,MFSD10
1506,ARHGAP29
1507,FZD6
1508,ADAM19
1509,NCKAP5L
1510,COX11
1511,CLUH
1512,KIF23
1513,BACE2
1514,MAPK8
1515,NDUFAB1
1516,FAM196A
1517,GAS5
1518,TK1
1519,VPS4B
1520,KIF11
1521,SLBP
1522,CCNB2
1523,NRXN3
1524,ZNF331
1525,UHRF2
1526,TAGLN2
1527,KIF20B
1528,AC019068.1
1529,CAVIN3
1530,RYK
1531,POLR3K
1532,EPHB4
1533,EIF4H
1534,DNAH14
1535,NUDT21
1536,FOXD1
1537,C12orf75
1538,PRIM2
1539,CHM
1540,SHROOM3
1541,SMG6
1542,TBC1D8
1543,RIPOR2
1544,TOP3A
1545,INF2
1546,UBR2
1547,CDIPT
1548,TNIP1
1549,KCNMA1
1550,MRPL40
1551,PUS7
1552,YAP1
1553,GSN
1554,CSPG4
1555,LINC-PINT
1556,SECISBP2
1557,ORC2
1558,UNC79
1559,USF3
1560,ATF1
1561,RFWD3
1562,CA12
1563,MOCS2
1564,ZNF780B
1565,TEX261
1566,PGM5P2
1567,AES
1568,MEOX2
1569,DLC1
1570,TMEM181
1571,LRRFIP1
1572,RSL1D1
1573,KDM5C
1574,DUSP6
1575,GAK
1576,ATP5J2
1577,SLC1A3
1578,ARFGAP3
1579,CCP110
1580,FEM1C
1581,AASS
1582,AP3M2
1583,CHERP
1584,MIR3681HG
1585,AP5M1
1586,SELENOT
1587,MEG3
1588,ITGA2
1589,RPS16
1590,ROBO2
1591,NAV3
1592,GBE1
1593,GPATCH8
1594,FUBP3
1595,SART1
1596,ITPRIPL2
1597,PCGF2
1598,B4GALT5
1599,MVD
1600,UPP1
1601,ARL6IP1
1602,GSAP
1603,IQGAP2
1604,ADCY6
1605,HDAC4
1606,TMA7
1607,RIC8A
1608,SUMO2
1609,BRPF3
1610,KLHL21
1611,EZH2
1612,TATDN2
1613,PRKCA
1614,UQCRQ
1615,CPEB2
1616,ZNF367
1617,ADGRB1
1618,HDAC9
1619,RMDN1
1620,SHROOM2
1621,DNAJA2
1622,TNS3
1623,COG5
1624,IDS
1625,DUSP4
1626,MED25
1627,TMTC1
1628,AKAP12
1629,AKAP8
1630,SLC38A6
1631,TMEM158
1632,ERRFI1
1633,IST1
1634,ACSL4
1635,ZSWIM5
1636,POU3F2
1637,SSBP3
1638,BZW1
1639,GALNT13
1640,PSD3
1641,CEP55
1642,PODXL
1643,ADAMTSL4-AS1
1644,CENPE
1645,TSEN2
1646,ARIH1
1647,FN1
1648,CEP63
1649,FBN2
1650,GJC1
1651,CDKL5
1652,KANK1
1653,MECOM
1654,ZNF680
1655,NLGN4X
1656,PRUNE2
1657,HIST1H1C
1658,TIMELESS
1659,PIN4
1660,SLC35F2
1661,SLC36A4
1662,PCDH9
1663,GLCCI1
1664,NCOA5
1665,GYG1
1666,SBF1
